"","x"
"1013",10041
"1014",10041
"1015",10041
"1016",10041
"1017",10041
"1018",10081
"1019",10081
"1020",10081
"1021",10081
"1022",10081
"1023",10081
"1024",10081
"1025",10081
"1026",10081
"1027",10081
"1028",10081
"1029",10081
"1030",10081
"1031",10081
"1032",10081
"1033",10081
"1034",10081
"1035",10081
"1036",10081
"1037",10081
"1038",10081
"1039",10081
"1040",10081
"1041",10081
"1042",10171
"1043",10171
"1044",10171
"1045",10171
"1046",10171
"1047",10171
"1048",10171
"1049",10171
"1050",10171
"1051",10171
"1052",10171
"1053",10171
"1054",10171
"1055",10171
"1056",10171
"1057",10171
"1058",10171
"1059",10171
"1060",10171
"1061",10171
"1062",10171
"1063",10171
"1064",10171
"1065",10270
"1066",10270
"1067",10270
"1068",10270
"1069",10270
"1070",10270
"1071",10270
"1072",10270
"1073",10270
"1074",10270
"1075",10270
"1076",10270
"1077",10270
"1078",10270
"1079",10270
"1080",10270
"1081",10270
"1082",10270
"1083",10270
"1084",10270
"1085",10270
"1086",10270
"1087",10270
"1088",10270
"1089",10270
"1090",10270
"1091",10282
"1092",10282
"1093",10282
"1094",10282
"1095",10282
"1096",10282
"1097",10282
"1098",10282
"1099",10282
"1100",10282
"1101",10282
"1102",10282
"1103",10282
"1104",10282
"1105",10282
"1106",10282
"1107",10282
"1108",10282
"1109",10288
"1110",10288
"1111",10288
"1112",10288
"1113",10288
"1114",10288
"1115",10288
"1116",10288
"1117",10288
"1118",10288
"1119",10288
"1120",10288
"1121",10288
"1122",10288
"1123",10288
"1124",10288
"1125",10288
"1126",10288
"1127",10288
"1128",10288
"1129",10288
"1130",10288
"1131",10288
"1132",10288
"1133",10288
"1134",10288
"1135",10288
"1136",10288
"1137",10288
"1138",10288
"1139",10288
"1140",10288
"1141",10288
"1142",10288
"1143",10288
"1144",10288
"1145",10288
"1146",10288
"1147",10288
"1148",10288
"1149",10288
"1150",10288
"1151",10288
"1152",10288
"1153",10288
"1154",10437
"1155",10437
"1156",10437
