"Count_180","idSensore","Year","Month"
0,5738,2018,10
0,5738,2019,4
0,5738,2019,5
6,5738,2019,6
3,5738,2019,7
NA,5738,2019,8
0,5738,2019,9
0,5738,2019,10
0,5738,2020,4
0,5738,2020,5
0,5738,2020,6
0,5738,2020,7
1,5738,2020,8
0,5738,2020,9
0,5738,2020,10
0,5738,2021,4
0,5738,2021,5
1,5738,2021,6
0,5738,2021,7
0,5738,2021,8
0,5738,2021,9
0,5738,2021,10
0,5738,2022,4
0,5738,2022,5
3,5738,2022,6
0,5738,2022,7
0,5738,2022,8
0,5738,2022,9
0,5738,2022,10
0,5739,2010,4
0,5739,2010,5
0,5739,2010,6
1,5739,2010,7
0,5739,2010,8
0,5739,2010,9
0,5739,2010,10
NA,5739,2011,4
NA,5739,2011,5
0,5739,2011,6
0,5739,2011,7
0,5739,2011,8
0,5739,2011,9
0,5739,2011,10
0,5739,2012,4
0,5739,2012,5
NA,5739,2012,6
0,5739,2012,7
0,5739,2012,8
0,5739,2012,9
0,5739,2012,10
NA,5739,2013,4
0,5739,2013,5
0,5739,2013,6
0,5739,2013,7
0,5739,2013,8
0,5739,2013,9
0,5739,2013,10
0,5739,2014,4
0,5739,2014,5
0,5739,2014,6
0,5739,2014,7
0,5739,2014,8
0,5739,2014,9
0,5739,2014,10
NA,5739,2015,4
0,5739,2015,5
0,5739,2015,6
0,5739,2015,7
0,5739,2015,8
0,5739,2015,9
0,5739,2015,10
0,5739,2016,4
NA,5739,2016,5
0,5739,2016,6
0,5739,2016,7
0,5739,2016,8
0,5739,2016,9
NA,5739,2016,10
0,5739,2017,4
0,5739,2017,5
0,5739,2017,6
0,5739,2017,7
0,5739,2017,8
0,5739,2017,9
0,5739,2017,10
0,5739,2018,4
0,5739,2018,5
0,5739,2018,6
0,5739,2018,7
0,5739,2018,8
0,5739,2018,9
0,5739,2018,10
0,5739,2019,4
0,5739,2019,5
0,5739,2019,6
0,5739,2019,7
0,5739,2019,8
0,5739,2019,9
0,5739,2019,10
0,5739,2020,4
0,5739,2020,5
0,5739,2020,6
0,5739,2020,7
0,5739,2020,8
0,5739,2020,9
0,5739,2020,10
0,5739,2021,4
0,5739,2021,5
0,5739,2021,6
0,5739,2021,7
0,5739,2021,8
0,5739,2021,9
0,5739,2021,10
0,5739,2022,4
0,5739,2022,5
0,5739,2022,6
0,5739,2022,7
0,5739,2022,8
0,5739,2022,9
0,5739,2022,10
0,5742,2010,4
0,5742,2010,5
0,5742,2010,6
1,5742,2010,7
0,5742,2010,8
0,5742,2010,9
0,5742,2010,10
NA,5742,2011,4
1,5742,2011,5
1,5742,2011,6
0,5742,2011,7
NA,5742,2011,8
0,5742,2011,9
0,5742,2011,10
0,5742,2012,4
NA,5742,2012,5
0,5742,2012,6
NA,5742,2012,7
2,5742,2012,8
0,5742,2012,9
0,5742,2012,10
