"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","mean_radiation_sum","count_highwind","Station"
2011,6,19.15,5.4,7.3,8.87,20.4046666666667,2.13333333333333,6665
2011,7,20.258064516129,5.61612903225806,4.19354838709677,10.0129032258065,21.5232258064516,2.25806451612903,6665
2011,8,22.4612903225806,3.29032258064516,3.2258064516129,9.83870967741935,19.8448387096774,2.19354838709677,6665
2011,9,19.5533333333333,5.37666666666667,3.5,8.92666666666667,14.132,2.13333333333333,6665
2011,10,12.5322580645161,2.61290322580645,2.45161290322581,9.43225806451613,9.90451612903226,2.16129032258065,6665
2012,5,15.0870967741935,4.95161290322581,5.06451612903226,10.741935483871,20.0774193548387,2.45161290322581,6665
2012,6,19.9233333333333,5.58666666666667,4.7,10.29,21.2883333333333,2.3,6665
2012,7,22.0451612903226,2.84193548387097,4.06451612903226,9.93548387096774,23.0993548387097,2.19354838709677,6665
2012,8,23.0645161290323,3.71612903225806,4.2258064516129,9.48709677419355,18.6303225806452,2.32258064516129,6665
2012,9,17.9533333333333,4.18666666666667,5.13333333333333,10.5733333333333,13.2006666666667,2.4,6665
2012,10,12.8806451612903,5.93225806451613,5.96774193548387,9.71612903225807,7.96709677419355,2.25806451612903,6665
2013,5,13.6516129032258,8.73870967741935,8.61290322580645,10.4354838709677,18.7167741935484,2.32258064516129,6665
2013,6,18.7633333333333,2.02,3.3,10.68,23.041,2.36666666666667,6665
2013,7,23.1322580645161,3.73870967741935,3.35483870967742,9.37741935483871,21.8806451612903,2.12903225806452,6665
2013,8,21.9516129032258,4.66129032258065,3.32258064516129,9.24193548387097,19.7961290322581,2.16129032258065,6665
2013,9,17.82,2.88333333333333,3.53333333333333,9.18,14.4603333333333,2.2,6665
2013,10,13.3161290322581,7.54838709677419,7.7741935483871,8.66129032258065,5.75451612903226,2.06451612903226,6665
2014,5,15.0709677419355,2.49354838709677,3.7741935483871,11.4129032258065,21.1293548387097,2.45161290322581,6665
2014,6,20.22,5.87333333333333,5.6,9.90333333333333,21.8523333333333,2.26666666666667,6665
2014,7,20.1064516129032,8.06129032258064,7.90322580645161,8.97096774193548,20.0687096774194,2.19354838709677,6665
2014,8,19.3032258064516,8.59354838709677,9.2258064516129,8.45806451612903,16.2038709677419,2.09677419354839,6665
2014,9,17.5,2.07,3.36666666666667,9.34666666666667,14.9833333333333,2.2,6665
2014,10,14.4290322580645,5.13870967741935,5.48387096774194,9.16451612903226,7.82322580645161,2.06451612903226,6665
2015,5,16.3516129032258,5.98064516129032,6,10.3967741935484,19.8006451612903,2.32258064516129,6665
2015,6,20.48,3.92,4.96666666666667,9.19,22.2303333333333,2.16666666666667,6665
2015,7,25.2774193548387,3.35483870967742,4.41935483870968,10.3935483870968,21.6961290322581,2.32258064516129,6665
2015,8,22.4774193548387,5.12903225806452,4.83870967741935,8.87741935483871,18.5948387096774,2.09677419354839,6665
2015,9,16.64,7.30333333333333,7.33333333333333,10.4566666666667,11.7706666666667,2.36666666666667,6665
2015,10,12.4838709677419,6.42903225806452,5.90322580645161,8.08387096774194,8.88870967741935,1.96774193548387,6665
2016,5,14.5032258064516,6.66774193548387,6.48387096774194,10.6322580645161,19.2525806451613,2.35483870967742,6665
2016,6,18.8866666666667,6.52333333333333,7.7,9.14333333333333,22.236,2.1,6665
2016,7,22.4096774193548,3.68064516129032,4.16129032258065,9.73548387096774,22.0603225806452,2.25806451612903,6665
2016,8,21.4935483870968,5.07096774193548,3.45161290322581,10,20.2877419354839,2.25806451612903,6665
2016,9,19.4966666666667,1.85333333333333,2.7,9.43333333333333,15.3276666666667,2.2,6665
2016,10,11.9806451612903,4.54193548387097,6.2258064516129,8.71935483870968,7.98483870967742,2.09677419354839,6665
2017,5,16.3645161290323,4.86451612903226,5.35483870967742,13.0225806451613,20.5274193548387,2.83870967741935,6665
2017,6,21.53,9.50333333333333,4.83333333333333,13.4,22.829,2.66666666666667,6665
2017,7,22.1290322580645,3.45161290322581,2.70967741935484,11.9709677419355,22.9374193548387,2.48387096774194,6665
2017,8,22.958064516129,1.97096774193548,1.7741935483871,12.5903225806452,20.2654838709677,2.61290322580645,6665
2017,9,16.0833333333333,5.92,4.16666666666667,12.34,13.7223333333333,2.63333333333333,6665
2017,10,13.8612903225806,0.119354838709677,0.483870967741935,11.2387096774194,11.2145161290323,2.45161290322581,6665
2018,5,16.3709677419355,7.78064516129032,8.2258064516129,12.3322580645161,18.0138709677419,2.58064516129032,6665
2018,6,20.48,4.22666666666667,4.43333333333333,11.68,23.082,2.53333333333333,6665
2018,7,22.8322580645161,4.46774193548387,3.90322580645161,11.9290322580645,22.1729032258065,2.61290322580645,6665
2018,8,23.7838709677419,2.82258064516129,3.70967741935484,12.3612903225806,19.1967741935484,2.70967741935484,6665
2018,9,19.4866666666667,1.74,3.43333333333333,10.49,15.4236666666667,2.26666666666667,6665
2018,10,14.9258064516129,7.92903225806452,6.12903225806452,15.041935483871,9.36967741935484,2.90322580645161,6665
2019,5,13.2870967741935,4.54193548387097,6.96774193548387,14.4258064516129,17.5738709677419,2.87096774193548,6665
2019,6,21.73,5.57,3.76666666666667,13.08,23.778,2.66666666666667,6665
2019,7,23.7806451612903,3.48064516129032,2.93548387096774,12.3516129032258,22.5164516129032,2.61290322580645,6665
2019,8,22.5516129032258,6.44838709677419,5.48387096774194,13.1387096774194,18.1522580645161,2.7741935483871,6665
2019,9,18.2633333333333,3.32,3.43333333333333,11.5433333333333,14.4166666666667,2.46666666666667,6665
2019,10,14.3741935483871,7.19032258064516,6.67741935483871,12.8064516129032,8.71387096774193,2.54838709677419,6665
2020,5,16.5870967741935,5.33548387096774,5.58064516129032,14.3354838709677,20.6416129032258,2.90322580645161,6665
2020,6,19.0566666666667,7.59,6.23333333333333,12.28,21.828,2.63333333333333,6665
2020,7,22.5774193548387,2.15806451612903,2.48387096774194,12.1225806451613,22.9787096774194,2.61290322580645,6665
2020,8,22.8870967741935,8.94516129032258,4.64516129032258,12.3774193548387,18.9390322580645,2.64516129032258,6665
2020,9,18.4066666666667,4.64,4.66666666666667,11.5566666666667,14.874,2.56666666666667,6665
2020,10,11.8483870967742,7.5741935483871,6.25806451612903,12.3967741935484,8.26193548387097,2.64516129032258,6665
2021,5,14.2935483870968,4.06774193548387,5.67741935483871,14.7967741935484,18.9835483870968,3,6665
2021,6,21.9266666666667,1.36333333333333,2.23333333333333,13.0933333333333,23.4143333333333,2.7,6665
2021,7,21.8290322580645,11.5548387096774,5.48387096774194,13.4322580645161,20.8664516129032,2.83870967741935,6665
2021,8,21.3161290322581,3.73870967741935,3.7741935483871,11.558064516129,19.4348387096774,2.48387096774194,6665
2021,9,18.9666666666667,4.55666666666667,4.1,10.6633333333333,14.1143333333333,2.36666666666667,6665
2021,10,11.958064516129,3.06129032258065,3.12903225806452,11.1774193548387,9.58967741935484,2.41935483870968,6665
2022,5,18.3161290322581,3.19677419354839,3.80645161290323,13.7645161290323,21.151935483871,2.87096774193548,6665
2022,6,23.01,3.48333333333333,2.9,15.66,23.5736666666667,3.06666666666667,6665
2022,7,26.5677419354839,1.43870967741935,1.45161290322581,15.8032258064516,24.1045161290323,3.12903225806452,6665
